prime,gap_from_prev,checks_for_prime,mods_since_last_prime,tested_since_last_prime,avg_tests_per_number,max_sqrt_seen_in_span
24001,8,153,265,8,33.125,154
24007,6,153,162,6,27.0,154
24019,12,153,191,12,15.916666666666666,154
24023,4,153,157,4,39.25,154
24029,6,154,163,6,27.166666666666668,155
24043,14,154,215,14,15.357142857142858,155
24049,6,154,297,6,49.5,155
24061,12,154,240,12,20.0,155
24071,10,154,207,10,20.7,155
24077,6,154,165,6,27.5,155
24083,6,154,169,6,28.166666666666668,155
24091,8,154,176,8,22.0,155
24097,6,154,163,6,27.166666666666668,155
24103,6,154,165,6,27.5,155
24107,4,154,158,4,39.5,155
24109,2,154,155,2,77.5,155
24113,4,154,158,4,39.5,155
24121,8,154,252,8,31.5,155
24133,12,154,248,12,20.666666666666668,155
24137,4,154,158,4,39.5,155
24151,14,154,293,14,20.928571428571427,155
24169,18,154,297,18,16.5,155
24179,10,154,189,10,18.9,155
24181,2,154,155,2,77.5,155
24197,16,154,218,16,13.625,155
24203,6,154,165,6,27.5,155
24223,20,154,342,20,17.1,155
24229,6,154,165,6,27.5,155
24239,10,154,177,10,17.7,155
24247,8,154,170,8,21.25,155
24251,4,154,158,4,39.5,155
24281,30,154,453,30,15.1,155
24317,36,154,650,36,18.055555555555557,155
24329,12,154,262,12,21.833333333333332,155
24337,8,155,193,8,24.125,156
24359,22,155,402,22,18.272727272727273,156
24371,12,155,191,12,15.916666666666666,156
24373,2,155,156,2,78.0,156
24379,6,155,178,6,29.666666666666668,156
24391,12,155,233,12,19.416666666666668,156
24407,16,155,237,16,14.8125,156
24413,6,155,166,6,27.666666666666668,156
24419,6,155,164,6,27.333333333333332,156
24421,2,155,156,2,78.0,156
24439,18,155,254,18,14.11111111111111,156
24443,4,155,159,4,39.75,156
24469,26,155,366,26,14.076923076923077,156
24473,4,155,159,4,39.75,156
24481,8,155,171,8,21.375,156
24499,18,155,254,18,14.11111111111111,156
24509,10,155,274,10,27.4,156
24517,8,155,291,8,36.375,156
24527,10,155,306,10,30.6,156
24533,6,155,178,6,29.666666666666668,156
24547,14,155,236,14,16.857142857142858,156
24551,4,155,159,4,39.75,156
24571,20,155,353,20,17.65,156
